,FICO,Approve_Date,Amount,Competition_Rate,Rate,Competitiveness,Cost_funds,Partner_2,Partner_3,Outcome
32,771,2004-08-03,10046.36,5.05,5.39,2.17,1.84,0,1,1
33,688,2004-08-21,10252.32,5.05,5.39,6.26,1.84,0,1,1
34,820,2004-08-30,10638.53,4.99,5.39,4.210000000000001,1.84,0,1,1
35,765,2004-08-23,11166.22,5.05,5.39,6.270000000000001,1.84,0,1,1
36,684,2004-08-22,11340.0,5.05,5.39,2.9700000000000006,1.84,0,1,1
37,736,2004-08-21,11530.52,5.05,5.39,9.270000000000001,1.84,0,1,1
38,675,2004-07-19,11700.0,4.95,5.39,12.12,1.84,0,1,1
39,700,2004-07-12,12918.65,4.95,5.39,7.17,1.84,0,1,1
40,693,2004-08-07,13114.0,5.05,5.39,1.17,1.84,0,1,0
41,720,2004-08-24,13175.73,5.05,5.39,3.619999999999999,1.84,0,1,1
42,715,2004-09-27,13300.0,4.99,5.39,2.210000000000001,1.84,0,1,1
43,628,2004-08-03,13723.79,5.05,5.39,7.220000000000001,1.84,0,1,1
44,738,2004-08-24,14006.76,5.05,5.39,3.26,1.84,0,1,1
45,768,2004-08-31,14221.0,4.99,5.39,-1.0399999999999991,1.84,0,1,1
46,747,2004-08-09,15351.38,5.05,5.39,7.270000000000001,1.84,0,1,1
47,758,2004-08-02,15458.0,5.05,5.39,3.619999999999999,1.84,0,1,1
48,777,2004-08-02,16643.0,5.05,5.39,1.2700000000000014,1.84,0,0,0
49,725,2004-09-22,16704.63,4.99,5.39,6.110000000000001,1.84,0,1,1
50,803,2004-08-04,5000.0,5.05,5.05,4.950000000000001,1.84,0,0,1
51,787,2004-08-16,5000.0,5.05,5.05,3.4399999999999995,1.84,0,0,0
52,705,2004-08-18,5000.0,5.05,5.05,2.950000000000001,1.84,0,0,0
53,773,2004-08-11,5170.93,5.05,5.05,6.950000000000001,1.84,0,0,1
54,766,2004-08-15,5240.0,5.05,5.05,2.9399999999999995,1.84,0,1,1
55,766,2004-08-25,5493.0,5.05,5.05,2.950000000000001,1.84,0,1,1
56,760,2004-08-12,5534.9,5.05,5.05,3.950000000000001,1.84,0,0,1
57,766,2004-11-16,5563.32,5.05,5.05,2.200000000000001,1.84,0,1,1
58,789,2004-08-26,5637.0,5.05,5.05,-0.7599999999999998,1.84,0,0,1
59,800,2004-08-04,5695.05,5.05,5.05,2.950000000000001,1.84,0,1,1
60,773,2004-08-10,5750.45,5.05,5.05,12.450000000000001,1.84,0,1,1
61,767,2004-08-15,5896.44,5.05,5.05,2.700000000000001,1.84,0,0,1
62,746,2004-08-03,5904.75,5.05,5.05,4.200000000000001,1.84,0,1,1
63,734,2004-08-10,6097.5,5.05,5.05,4.950000000000001,1.84,0,1,1
64,751,2004-08-30,6311.55,4.99,5.05,5.880000000000001,1.84,0,0,1
65,781,2004-08-24,6510.0,5.05,5.05,2.200000000000001,1.84,0,1,1
66,788,2004-08-23,6608.98,5.05,5.05,2.950000000000001,1.84,0,1,1
67,782,2004-08-11,6720.0,5.05,5.05,2.8499999999999996,1.84,0,0,1
68,779,2004-08-06,6805.24,5.05,5.05,1.8499999999999996,1.84,0,1,1
69,766,2004-08-10,6821.1,5.05,5.05,8.950000000000001,1.84,0,0,1
70,779,2004-08-09,6944.41,5.05,5.05,3.040000000000001,1.84,0,0,1
71,734,2004-08-05,7410.0,5.05,5.05,6.950000000000001,1.84,0,1,0
72,777,2004-08-18,7492.0,5.05,5.05,3.4399999999999995,1.84,0,1,0
73,741,2004-08-04,7504.28,5.05,5.05,1.950000000000001,1.84,0,0,1
74,827,2004-08-23,7540.0,5.05,5.05,4.950000000000001,1.84,0,1,1
75,778,2004-08-05,7605.0,5.05,5.05,4.950000000000001,1.84,0,1,0
76,787,2004-08-30,7626.0,4.99,5.05,4.84,1.84,0,1,1
77,776,2004-08-05,7668.55,5.05,5.05,5.950000000000001,1.84,0,0,1
78,752,2004-08-18,7805.0,5.05,5.05,4.950000000000001,1.84,0,1,0
79,760,2004-08-09,7884.7,5.05,5.05,2.290000000000001,1.84,0,0,1
80,738,2004-08-09,7968.19,5.05,5.05,4.950000000000001,1.84,0,0,1
81,679,2004-08-13,8000.0,5.05,5.05,11.85,1.84,0,1,1
82,737,2004-08-20,8000.0,5.05,5.05,4.200000000000001,1.84,0,0,0
83,766,2004-08-16,8057.59,5.05,5.05,4.9,1.84,0,1,1
84,741,2004-08-15,8205.23,5.05,5.05,2.9399999999999995,1.84,0,0,1
85,790,2004-08-10,8351.22,5.05,5.05,2.1400000000000006,1.84,0,0,1
86,734,2004-08-09,8423.65,5.05,5.05,2.200000000000001,1.84,0,1,1
87,759,2004-08-28,8489.0,5.05,5.05,2.450000000000001,1.84,0,0,0
88,733,2004-08-16,8824.32,5.05,5.05,2.950000000000001,1.84,0,0,1
89,766,2004-08-07,8973.0,5.05,5.05,3.450000000000001,1.84,0,1,1
90,684,2004-08-16,9039.28,5.05,5.05,1.950000000000001,1.84,0,1,1
91,808,2004-08-16,9115.16,5.05,5.05,6.950000000000001,1.84,0,1,1
92,758,2004-08-29,9389.58,4.99,5.05,2.1400000000000006,1.84,0,0,1
93,716,2004-08-22,9421.39,5.05,5.05,8.950000000000001,1.84,0,1,1
94,761,2004-08-15,9750.0,5.05,5.05,2.950000000000001,1.84,0,0,0
95,810,2004-08-19,9800.0,5.05,5.05,9.950000000000001,1.84,0,1,1
96,801,2004-08-22,9944.45,5.05,5.05,2.9399999999999995,1.84,0,0,1
97,738,2004-08-19,9976.32,5.05,5.05,6.950000000000001,1.84,0,0,1
98,786,2004-08-04,10000.0,5.05,5.05,3.950000000000001,1.84,0,1,1
99,808,2004-08-23,10210.82,5.05,5.05,11.94,1.84,0,0,1
100,762,2004-08-11,10264.0,5.05,5.05,1.7400000000000002,1.84,0,1,0
101,787,2004-08-06,10511.0,5.05,5.05,4.450000000000001,1.84,0,1,0
102,734,2004-08-12,10647.0,5.05,5.05,2.049999999999999,1.84,0,1,0
103,772,2004-08-06,10710.0,5.05,5.05,1.799999999999999,1.84,0,0,0
104,753,2004-08-09,10749.0,5.05,5.05,5.200000000000001,1.84,0,0,0
105,794,2004-08-16,10790.92,5.05,5.05,1.950000000000001,1.84,0,1,1
106,789,2004-08-06,10900.0,5.05,5.05,1.4900000000000002,1.84,0,1,0
107,725,2004-08-04,11216.35,5.05,5.05,5.950000000000001,1.84,0,1,1
108,774,2004-08-09,11775.73,5.05,5.05,2.200000000000001,1.84,0,0,1
109,755,2004-08-08,12189.0,5.05,5.05,2.540000000000001,1.84,0,0,1
110,732,2004-08-27,12739.0,5.05,5.05,6.450000000000001,1.84,1,0,0
111,732,2004-08-10,12815.0,5.05,5.05,3.950000000000001,1.84,0,0,0
112,819,2004-08-20,12850.0,5.05,5.05,-0.35999999999999943,1.84,0,0,0
113,684,2004-08-16,12923.99,5.05,5.05,3.200000000000001,1.84,0,1,1
114,735,2004-08-16,12989.0,5.05,5.05,2.8499999999999996,1.84,0,0,0
115,776,2004-08-17,13000.0,5.05,5.05,1.700000000000001,1.84,1,0,0
116,786,2004-08-23,13000.0,5.05,5.05,2.950000000000001,1.84,0,1,0
117,773,2004-08-24,13151.21,5.05,5.05,2.450000000000001,1.84,0,1,1
118,749,2004-08-08,13400.0,5.05,5.05,11.450000000000001,1.84,0,1,0
119,747,2004-08-16,13479.0,5.05,5.05,1.75,1.84,0,0,0
120,670,2004-08-10,13753.03,5.05,5.05,8.950000000000001,1.84,0,1,1
121,741,2004-08-16,13766.38,5.05,5.05,7.35,1.84,0,1,1
122,767,2004-08-28,13940.32,5.05,5.05,4.950000000000001,1.84,0,1,1
123,741,2004-08-17,13991.0,5.05,5.05,3.950000000000001,1.84,0,0,1
124,802,2004-08-13,14000.0,5.05,5.05,2.450000000000001,1.84,0,1,0
125,746,2004-11-16,14000.0,5.05,5.05,1.799999999999999,1.84,1,0,0
126,754,2004-08-11,14152.61,5.05,5.05,2.450000000000001,1.84,0,0,1
127,764,2004-08-18,14160.0,5.05,5.05,2.450000000000001,1.84,1,0,0
128,737,2004-08-17,14246.23,5.05,5.05,2.8499999999999996,1.84,0,1,1
129,766,2004-08-12,14390.0,5.05,5.05,-0.40000000000000036,1.84,1,0,0
130,750,2004-08-27,14535.0,5.05,5.05,1.8900000000000006,1.84,1,0,0
131,778,2004-08-26,14585.14,5.05,5.05,3.950000000000001,1.84,0,1,1
132,790,2004-08-03,14728.0,5.05,5.05,3.950000000000001,1.84,1,0,0
133,771,2004-08-28,14937.0,5.05,5.05,3.450000000000001,1.84,0,0,1
134,783,2004-08-13,14946.88,5.05,5.05,2.450000000000001,1.84,0,1,1
135,805,2004-08-13,15000.0,5.05,5.05,-0.5499999999999989,1.84,1,0,0
136,733,2004-08-27,15000.0,5.05,5.05,1.8499999999999996,1.84,1,0,0
137,706,2004-08-30,15000.0,4.99,5.05,5.83,1.84,1,0,0
138,668,2004-08-17,15164.7,5.05,5.05,11.950000000000001,1.84,0,1,1
139,810,2004-08-24,15218.0,5.05,5.05,1.950000000000001,1.84,1,0,0
140,779,2004-08-04,15362.0,5.05,5.05,1.9000000000000004,1.84,1,0,0
141,760,2004-08-18,15435.0,5.05,5.05,4.85,1.84,1,0,0
142,748,2004-08-05,15438.0,5.05,5.05,1.5999999999999996,1.84,0,1,0
143,736,2004-08-15,15461.0,5.05,5.05,2.1400000000000006,1.84,0,1,1
144,756,2004-08-06,15860.0,5.05,5.05,4.950000000000001,1.84,0,1,1
145,758,2004-08-23,15930.0,5.05,5.05,3.9399999999999995,1.84,1,0,0
146,749,2004-08-12,16000.0,5.05,5.05,9.950000000000001,1.84,0,0,1
147,775,2004-08-13,16000.0,5.05,5.05,3.3400000000000016,1.84,1,0,0
148,789,2004-08-17,16249.0,5.05,5.05,3.1899999999999995,1.84,1,0,0
149,751,2004-08-30,16300.0,4.99,5.05,4.790000000000001,1.84,0,0,0
150,721,2004-08-05,16460.0,5.05,5.05,2.200000000000001,1.84,1,0,0
151,734,2004-08-19,16464.12,5.05,5.05,4.139999999999999,1.84,1,0,1
152,764,2004-08-12,16684.0,5.05,5.05,3.950000000000001,1.84,1,0,0
153,739,2004-08-29,16920.0,4.99,5.05,4.49,1.84,1,0,0
154,781,2004-08-20,16974.0,5.05,5.05,1.950000000000001,1.84,0,1,1
155,746,2004-08-18,17000.0,5.05,5.05,-0.5499999999999989,1.84,1,0,0
156,788,2004-08-18,17504.06,5.05,5.05,5.950000000000001,1.84,0,1,1
157,802,2004-08-26,17873.0,5.05,5.05,1.950000000000001,1.84,0,1,0
158,740,2004-08-26,17931.0,5.05,5.05,3.950000000000001,1.84,0,1,0
159,775,2004-08-10,18000.0,5.05,5.05,3.4399999999999995,1.84,1,0,0
160,758,2004-08-11,18000.0,5.05,5.05,2.6500000000000004,1.84,0,1,0
161,733,2004-08-12,18000.0,5.05,5.05,3.3499999999999996,1.84,0,0,0
162,741,2004-08-19,18000.0,5.05,5.05,3.950000000000001,1.84,1,0,1
163,780,2004-08-20,18757.89,5.05,5.05,1.9399999999999995,1.84,0,0,1
164,768,2004-08-09,18950.0,5.05,5.05,2.8499999999999996,1.84,0,1,0
165,754,2004-07-22,19293.0,4.95,5.05,14.85,1.84,0,1,1
166,786,2004-08-16,19500.0,5.05,5.05,1.700000000000001,1.84,0,0,1
167,791,2004-08-22,19516.0,5.05,5.05,3.200000000000001,1.84,0,1,0
168,733,2004-08-18,19631.0,5.05,5.05,3.450000000000001,1.84,1,0,0
169,787,2004-08-19,19796.34,5.05,5.05,6.950000000000001,1.84,1,0,1
170,737,2004-08-12,19800.0,5.05,5.05,2.950000000000001,1.84,0,1,1
171,757,2004-08-06,19889.0,5.05,5.05,2.8900000000000006,1.84,1,0,0
172,736,2004-08-04,13204.0,5.05,5.03,1.4900000000000002,1.84,1,0,0
173,803,2004-08-14,13280.0,5.05,5.03,1.4900000000000002,1.84,1,0,0
174,781,2004-08-05,18200.0,5.05,5.03,1.4900000000000002,1.84,0,1,1
175,711,2004-08-12,19154.18,5.05,5.03,1.4900000000000002,1.84,0,1,1
176,700,2004-08-30,13901.0,4.99,5.02,1.4400000000000013,1.84,0,1,0
177,791,2003-06-02,6300.0,4.59,5.0,4.59,1.84,0,1,0
178,735,2003-06-05,6300.0,4.59,5.0,4.59,1.84,0,1,0
179,757,2003-06-16,6300.0,4.39,5.0,4.390000000000001,1.84,0,1,1
180,753,2003-06-02,7800.0,4.59,5.0,4.59,1.84,0,1,0
181,795,2003-06-04,8300.0,4.59,5.0,4.59,1.84,0,1,1
182,733,2003-06-02,17158.0,4.59,5.0,4.59,1.84,0,1,1
183,788,2004-09-06,4558.75,4.99,4.99,10.0,1.84,0,0,1
184,790,2004-10-11,5000.0,4.99,4.99,5.01,1.84,0,1,0
185,732,2004-10-13,5000.0,4.99,4.99,2.91,1.84,0,1,1
186,813,2004-10-14,5000.0,4.99,4.99,5.01,1.84,0,1,0
187,809,2004-11-01,5000.0,4.99,4.99,2.51,1.84,0,1,0
188,752,2004-10-09,5042.0,4.99,4.99,1.5099999999999998,1.84,0,1,1
189,752,2004-09-29,5056.76,4.99,4.99,1.7599999999999998,1.84,0,0,1
190,789,2004-11-09,5065.0,4.99,4.99,5.01,1.84,0,1,0
191,761,2004-11-11,5146.55,4.99,4.99,2.01,1.84,0,1,1
192,798,2004-11-12,5404.0,4.99,4.99,5.01,1.84,0,1,0
193,736,2004-09-13,5411.07,4.99,4.99,2.26,1.84,0,0,1
194,737,2004-10-20,5438.0,4.99,4.99,2.01,1.84,0,1,0
195,736,2004-09-08,5500.0,4.99,4.99,3.26,1.84,0,0,0
196,778,2004-09-01,5709.79,4.99,4.99,4.51,1.84,0,0,1
197,795,2004-09-27,5803.52,4.99,4.99,3.209999999999999,1.84,0,1,1
198,744,2004-10-17,5850.0,4.99,4.99,1.5700000000000003,1.84,0,0,1
199,778,2004-10-10,5886.77,4.99,4.99,8.010000000000002,1.84,0,0,1
200,765,2004-10-08,5907.03,4.99,4.99,3.74,1.84,0,1,1
201,783,2004-09-07,5929.35,4.99,4.99,3.959999999999999,1.84,0,1,1
202,793,2004-09-30,5963.07,4.99,4.99,3.76,1.84,0,1,1
203,761,2004-09-07,5980.0,4.99,4.99,-1.0899999999999999,1.84,0,1,1
204,751,2004-10-05,5991.0,4.99,4.99,3.01,1.84,0,0,1
205,796,2003-10-01,6000.0,4.69,4.99,2.960000000000001,1.84,0,1,1
206,807,2004-09-22,6000.0,4.99,4.99,2.210000000000001,1.84,0,0,0
207,751,2004-09-06,6170.0,4.99,4.99,3.01,1.84,0,1,0
208,802,2004-10-12,6200.0,4.99,4.99,4.91,1.84,0,0,1
209,743,2004-11-05,6230.0,4.99,4.99,5.01,1.84,0,1,0
210,774,2004-10-05,6289.0,4.99,4.99,-0.7400000000000002,1.84,0,0,1
211,793,2003-08-20,6300.0,4.99,4.99,3.51,1.84,0,1,0
212,739,2003-08-21,6300.0,4.99,4.99,1.8099999999999987,1.84,0,0,0
213,778,2003-08-22,6300.0,4.99,4.99,3.26,1.84,0,1,0
214,772,2003-08-27,6300.0,4.99,4.99,3.91,1.84,0,0,1
215,787,2003-08-27,6300.0,4.99,4.99,4.91,1.84,0,1,0
216,815,2003-08-28,6300.0,4.99,4.99,3.01,1.84,0,0,0
217,790,2003-08-29,6300.0,4.99,4.99,3.76,1.84,0,1,0
218,733,2003-09-03,6300.0,4.99,4.99,5.01,1.84,0,0,0
219,733,2003-09-03,6300.0,4.99,4.99,6.01,1.84,0,0,1
220,733,2003-09-10,6300.0,4.99,4.99,3.959999999999999,1.84,0,1,0
221,811,2003-09-10,6300.0,4.99,4.99,1.5999999999999996,1.84,0,0,1
222,752,2003-09-11,6300.0,4.99,4.99,2.960000000000001,1.84,0,1,0
223,773,2003-09-11,6300.0,4.99,4.99,1.7599999999999998,1.84,0,1,1
224,738,2003-09-12,6300.0,4.79,4.99,4.809999999999999,1.84,0,1,1
225,734,2003-09-12,6300.0,4.79,4.99,2.3099999999999987,1.84,0,0,0
226,752,2003-09-15,6300.0,4.79,4.99,3.759999999999998,1.84,0,0,0
227,751,2004-09-27,6300.0,4.99,4.99,3.26,1.84,1,0,1
228,783,2003-09-13,6311.0,4.79,4.99,1.8099999999999987,1.84,0,0,1
229,748,2003-08-28,6359.0,4.99,4.99,4.91,1.84,0,1,1
230,777,2004-09-27,6392.61,4.99,4.99,16.76,1.84,0,1,1
231,781,2004-08-31,6392.71,4.99,4.99,3.01,1.84,0,0,1
232,783,2003-08-26,6400.0,4.99,4.99,2.26,1.84,0,1,1
233,739,2004-09-08,6431.0,4.99,4.99,1.5,1.84,0,0,0
234,759,2004-10-09,6497.0,4.99,4.99,5.01,1.84,0,1,0
235,754,2003-09-12,6550.0,4.79,4.99,3.710000000000001,1.84,0,1,1
236,760,2004-10-18,6603.0,4.99,4.99,5.01,1.84,0,1,1
237,747,2004-10-08,6625.38,4.99,4.99,5.209999999999999,1.84,1,0,1
238,779,2003-09-08,6634.0,4.99,4.99,4.91,1.84,0,1,0
239,753,2003-09-11,6650.0,4.99,4.99,3.01,1.84,0,1,1
240,773,2003-09-05,6670.0,4.99,4.99,3.91,1.84,0,0,1
241,744,2004-09-27,6689.0,4.99,4.99,2.51,1.84,0,1,0
242,769,2003-08-28,6700.0,4.99,4.99,5.0,1.84,0,0,1
243,786,2003-09-13,6700.0,4.79,4.99,2.8099999999999987,1.84,0,0,1
244,730,2004-10-12,6748.88,4.99,4.99,12.959999999999997,1.84,1,0,1
245,744,2004-10-18,6761.92,4.99,4.99,-0.3000000000000007,1.84,0,0,1
246,767,2003-08-22,6800.0,4.99,4.99,5.01,1.84,0,1,1
247,753,2003-09-05,6800.0,4.99,4.99,2.01,1.84,0,1,1
248,796,2004-09-03,6800.0,4.99,4.99,9.959999999999997,1.84,0,0,1
249,781,2003-08-25,6812.0,4.99,4.99,2.84,1.84,0,0,0
250,774,2004-09-22,6816.68,4.99,4.99,7.900000000000002,1.84,0,1,1
251,748,2004-09-08,6848.44,4.99,4.99,2.76,1.84,0,0,1
252,763,2004-09-06,6856.82,4.99,4.99,7.760000000000002,1.84,0,0,1
253,781,2004-08-31,6937.92,4.99,4.99,7.010000000000002,1.84,0,1,1
254,696,2004-10-05,6952.76,4.99,4.99,3.01,1.84,0,1,1
255,765,2003-09-15,7000.0,4.79,4.99,3.0599999999999987,1.84,0,0,1
256,751,2004-09-08,7000.0,4.99,4.99,4.0,1.84,0,1,1
257,767,2004-10-22,7000.0,4.99,4.99,5.0,1.84,1,0,1
258,758,2004-09-15,7053.83,4.99,4.99,2.0,1.84,0,0,1
259,754,2003-09-15,7061.0,4.79,4.99,3.8000000000000007,1.84,0,1,1
260,766,2003-08-18,7067.0,4.99,4.99,2.51,1.84,0,1,0
261,760,2003-09-02,7075.0,4.99,4.99,2.91,1.84,0,0,0
262,773,2004-09-30,7077.74,4.99,4.99,3.6099999999999994,1.84,0,0,1
263,744,2003-09-12,7100.0,4.79,4.99,1.8000000000000007,1.84,0,0,0
264,785,2003-09-11,7105.0,4.99,4.99,2.91,1.84,0,0,1
265,785,2003-09-11,7106.0,4.99,4.99,2.91,1.84,0,0,0
266,732,2004-11-12,7109.47,4.99,4.99,2.76,1.84,0,1,1
267,736,2003-08-18,7125.0,4.99,4.99,3.75,1.84,0,0,1
268,798,2003-08-18,7131.0,4.99,4.99,2.0,1.84,0,0,0
269,763,2003-08-15,7200.0,4.99,4.99,1.9100000000000001,1.84,0,1,0
270,747,2003-08-20,7200.0,4.99,4.99,9.0,1.84,0,1,1
271,801,2003-08-26,7200.0,4.99,4.99,2.5500000000000007,1.84,0,0,1
272,744,2003-09-05,7200.0,4.99,4.99,3.01,1.84,0,0,1
273,696,2004-10-16,7204.05,4.99,4.99,8.5,1.84,0,1,1
274,792,2004-09-06,7243.1,4.99,4.99,1.7599999999999998,1.84,0,0,1
275,781,2004-10-08,7248.0,4.99,4.99,2.879999999999999,1.84,0,1,0
276,751,2003-08-25,7300.0,4.99,4.99,2.51,1.84,0,1,0
277,760,2003-08-26,7300.0,4.99,4.99,2.01,1.84,0,0,0
278,743,2003-09-02,7300.0,4.99,4.99,5.109999999999999,1.84,0,1,0
279,745,2003-09-02,7300.0,4.99,4.99,8.010000000000002,1.84,0,0,0
280,794,2003-09-04,7300.0,4.99,4.99,5.0,1.84,0,1,0
281,756,2004-10-17,7300.0,4.99,4.99,-0.9900000000000002,1.84,1,0,0
282,817,2004-09-13,7326.0,4.99,4.99,1.5099999999999998,1.84,0,1,0
283,825,2004-09-18,7339.21,4.99,4.99,2.76,1.84,0,1,1
284,751,2004-09-29,7375.0,4.99,4.99,4.01,1.84,1,0,0
285,780,2003-08-26,7395.0,4.99,4.99,2.01,1.84,0,1,1
286,787,2003-09-07,7397.0,4.99,4.99,2.210000000000001,1.84,0,1,0
287,758,2003-08-31,7400.0,4.99,4.99,1.6499999999999986,1.84,0,0,0
288,775,2003-09-04,7400.0,4.99,4.99,3.959999999999999,1.84,0,1,1
289,808,2004-09-16,7420.0,4.99,4.99,2.6099999999999994,1.84,0,0,0
290,793,2003-09-15,7446.0,4.79,4.99,5.349999999999998,1.84,0,0,0
291,751,2004-10-04,7450.89,4.99,4.99,4.91,1.84,0,0,1
292,752,2003-08-22,7493.0,4.99,4.99,5.01,1.84,0,1,1
293,758,2003-08-29,7494.0,4.99,4.99,2.460000000000001,1.84,0,0,0
294,786,2004-10-08,7500.0,4.99,4.99,5.01,1.84,0,1,1
295,729,2004-10-22,7500.0,4.99,4.99,2.5,1.84,1,0,0
296,747,2004-11-03,7500.0,4.99,4.99,8.260000000000002,1.84,1,0,0
297,751,2003-06-03,7510.0,4.59,4.99,1.6099999999999994,1.84,0,1,1
298,758,2003-08-28,7530.0,4.99,4.99,2.76,1.84,0,1,1
299,755,2004-11-12,7532.0,4.99,4.99,4.01,1.84,0,0,0
300,740,2004-10-25,7562.83,4.99,4.99,5.01,1.84,0,1,1
301,752,2003-09-12,7570.0,4.79,4.99,1.7899999999999991,1.84,0,0,1
302,739,2003-09-10,7581.0,4.99,4.99,1.7100000000000009,1.84,0,0,0
303,687,2004-09-27,7623.05,4.99,4.99,5.5,1.84,0,1,1
304,815,2004-09-08,7676.24,4.99,4.99,-0.8599999999999994,1.84,0,0,1
305,794,2003-08-27,7687.0,4.99,4.99,3.209999999999999,1.84,0,1,1
306,809,2004-09-13,7690.32,4.99,4.99,3.0,1.84,0,0,1
307,832,2004-10-07,7695.0,4.99,4.99,5.01,1.84,0,1,0
308,731,2004-11-11,7710.22,4.99,4.99,3.25,1.84,0,0,1
309,769,2003-09-02,7715.0,4.99,4.99,2.51,1.84,0,0,0
310,794,2003-09-09,7724.0,4.99,4.99,2.5,1.84,0,1,0
311,760,2004-11-02,7740.0,4.99,4.99,7.010000000000002,1.84,1,0,0
312,789,2004-10-28,7762.0,4.99,4.99,4.26,1.84,1,0,0
313,802,2003-08-17,7800.0,4.99,4.99,5.26,1.84,0,0,1
314,735,2003-08-23,7800.0,4.99,4.99,5.75,1.84,0,0,0
315,761,2003-08-25,7800.0,4.99,4.99,4.26,1.84,0,0,0
316,792,2003-08-26,7800.0,4.99,4.99,2.960000000000001,1.84,0,0,0
317,809,2003-09-10,7800.0,4.99,4.99,4.01,1.84,0,0,0
318,767,2003-09-11,7800.0,4.99,4.99,1.7599999999999998,1.84,0,0,0
319,805,2004-11-07,7800.0,4.99,4.99,2.91,1.84,0,0,0
320,678,2004-09-19,7835.2,4.99,4.99,2.51,1.84,0,1,1
321,754,2004-11-11,7863.0,4.99,4.99,10.010000000000002,1.84,0,1,1
322,737,2003-09-11,7910.0,4.99,4.99,3.799999999999999,1.84,0,0,1
323,731,2004-10-18,7934.0,4.99,4.99,1.9100000000000001,1.84,1,0,0
324,773,2003-08-28,7944.0,4.99,4.99,5.01,1.84,0,1,1
325,744,2004-09-24,7972.0,4.99,4.99,2.01,1.84,1,0,0
326,772,2003-08-15,7980.0,4.99,4.99,2.5,1.84,0,0,1
327,751,2004-10-19,7997.2,4.99,4.99,2.8999999999999986,1.84,0,0,1
328,747,2003-08-28,8000.0,4.99,4.99,2.26,1.84,0,0,0
329,750,2004-09-02,8000.0,4.99,4.99,6.01,1.84,0,0,0
330,757,2004-09-18,8000.0,4.99,4.99,3.91,1.84,0,1,1
331,766,2004-09-20,8000.0,4.99,4.99,3.4499999999999993,1.84,0,0,0
332,770,2004-10-12,8000.0,4.99,4.99,2.51,1.84,0,0,0
333,700,2004-11-02,8002.33,4.99,4.99,4.01,1.84,1,0,1
334,741,2003-08-31,8073.0,4.99,4.99,4.0600000000000005,1.84,0,0,1
335,749,2003-08-21,8131.0,4.99,4.99,4.959999999999999,1.84,0,1,0
336,769,2004-11-15,8198.99,5.05,4.99,1.9699999999999989,1.84,0,0,1
337,740,2004-09-30,8209.0,4.99,4.99,2.51,1.84,1,0,0
338,799,2004-09-28,8216.39,4.99,4.99,4.109999999999999,1.84,0,0,1
339,772,2004-09-01,8222.61,4.99,4.99,1.6600000000000001,1.84,0,0,1
