Tier,FICO,Approve_Date,Term,Amount,Previous Rate,Car Type,Competition Rate,Rate,Partner,Outcome
1,761,8/15/04,36,9750,8,R,5.05,5.05,1,0
1,810,8/19/04,36,9800,15,R,5.05,5.05,3,1
1,801,8/22/04,36,9944.45,7.99,R,5.05,5.05,1,1
1,738,8/19/04,36,9976.32,12,R,5.05,5.05,1,1
1,786,8/4/04,36,10000,9,R,5.05,5.05,3,1
1,808,8/23/04,36,10210.82,16.99,R,5.05,5.05,1,1
1,762,8/11/04,36,10264,6.79,R,5.05,5.05,3,0
1,787,8/6/04,36,10511,9.5,R,5.05,5.05,3,0
1,734,8/12/04,36,10647,7.1,R,5.05,5.05,3,0
1,772,8/6/04,36,10710,6.85,R,5.05,5.05,1,0
1,753,8/9/04,36,10749,10.25,R,5.05,5.05,1,0
1,794,8/16/04,36,10790.92,7,R,5.05,5.05,3,1
1,789,8/6/04,36,10900,6.54,R,5.05,5.05,3,0
1,725,8/4/04,36,11216.35,11,R,5.05,5.05,3,1
1,774,8/9/04,36,11775.73,7.25,R,5.05,5.05,1,1
1,755,8/8/04,36,12189,7.59,R,5.05,5.05,1,1
1,732,8/27/04,36,12739,11.5,R,5.05,5.05,2,0
1,732,8/10/04,36,12815,9,R,5.05,5.05,1,0
1,819,8/20/04,36,12850,4.69,R,5.05,5.05,1,0
1,684,8/16/04,36,12923.99,8.25,R,5.05,5.05,3,1
1,735,8/16/04,36,12989,7.9,R,5.05,5.05,1,0
1,776,8/17/04,36,13000,6.75,R,5.05,5.05,2,0
1,786,8/23/04,36,13000,8,R,5.05,5.05,3,0
1,773,8/24/04,36,13151.21,7.5,R,5.05,5.05,3,1
1,749,8/8/04,36,13400,16.5,R,5.05,5.05,3,0
1,747,8/16/04,36,13479,6.8,R,5.05,5.05,1,0
1,670,8/10/04,36,13753.03,14,R,5.05,5.05,3,1
1,741,8/16/04,36,13766.38,12.4,R,5.05,5.05,3,1
1,767,8/28/04,36,13940.32,10,R,5.05,5.05,3,1
1,741,8/17/04,36,13991,9,R,5.05,5.05,1,1
1,802,8/13/04,36,14000,7.5,R,5.05,5.05,3,0
1,746,11/16/04,36,14000,6.85,R,5.05,5.05,2,0
1,754,8/11/04,36,14152.61,7.5,R,5.05,5.05,1,1
1,764,8/18/04,36,14160,7.5,R,5.05,5.05,2,0
1,737,8/17/04,36,14246.23,7.9,R,5.05,5.05,3,1
1,766,8/12/04,36,14390,4.65,R,5.05,5.05,2,0
1,750,8/27/04,36,14535,6.94,R,5.05,5.05,2,0
1,778,8/26/04,36,14585.14,9,R,5.05,5.05,3,1
1,790,8/3/04,36,14728,9,R,5.05,5.05,2,0
1,771,8/28/04,36,14937,8.5,R,5.05,5.05,1,1
1,783,8/13/04,36,14946.88,7.5,R,5.05,5.05,3,1
1,805,8/13/04,36,15000,4.5,R,5.05,5.05,2,0
1,733,8/27/04,36,15000,6.9,R,5.05,5.05,2,0
1,706,8/30/04,36,15000,10.94,R,4.99,5.05,2,0
1,668,8/17/04,36,15164.7,17,R,5.05,5.05,3,1
1,810,8/24/04,36,15218,7,R,5.05,5.05,2,0
1,779,8/4/04,36,15362,6.95,R,5.05,5.05,2,0
1,760,8/18/04,36,15435,9.9,R,5.05,5.05,2,0
1,748,8/5/04,36,15438,6.65,R,5.05,5.05,3,0
1,736,8/15/04,36,15461,7.19,R,5.05,5.05,3,1
1,756,8/6/04,36,15860,10,R,5.05,5.05,3,1
1,758,8/23/04,36,15930,8.99,R,5.05,5.05,2,0
1,749,8/12/04,36,16000,15,R,5.05,5.05,1,1
1,775,8/13/04,36,16000,8.39,R,5.05,5.05,2,0
1,789,8/17/04,36,16249,8.24,R,5.05,5.05,2,0
1,751,8/30/04,36,16300,9.9,R,4.99,5.05,1,0
1,721,8/5/04,36,16460,7.25,R,5.05,5.05,2,0
1,734,8/19/04,36,16464.12,9.19,R,5.05,5.05,2,1
1,764,8/12/04,36,16684,9,R,5.05,5.05,2,0
1,739,8/29/04,36,16920,9.6,R,4.99,5.05,2,0
1,781,8/20/04,36,16974,7,R,5.05,5.05,3,1
1,746,8/18/04,36,17000,4.5,R,5.05,5.05,2,0
1,788,8/18/04,36,17504.06,11,R,5.05,5.05,3,1
1,802,8/26/04,36,17873,7,R,5.05,5.05,3,0
1,740,8/26/04,36,17931,9,R,5.05,5.05,3,0
1,775,8/10/04,36,18000,8.49,R,5.05,5.05,2,0
1,758,8/11/04,36,18000,7.7,R,5.05,5.05,3,0
1,733,8/12/04,36,18000,8.4,R,5.05,5.05,1,0
1,741,8/19/04,36,18000,9,R,5.05,5.05,2,1
1,780,8/20/04,36,18757.89,6.99,R,5.05,5.05,1,1
1,768,8/9/04,36,18950,7.9,R,5.05,5.05,3,0
1,754,7/22/04,36,19293,20,R,4.95,5.05,3,1
1,786,8/16/04,36,19500,6.75,R,5.05,5.05,1,1
1,791,8/22/04,36,19516,8.25,R,5.05,5.05,3,0
1,733,8/18/04,36,19631,8.5,R,5.05,5.05,2,0
1,787,8/19/04,36,19796.34,12,R,5.05,5.05,2,1
1,737,8/12/04,36,19800,8,R,5.05,5.05,3,1
1,757,8/6/04,36,19889,7.94,R,5.05,5.05,2,0
1,736,8/4/04,36,13204,6.5,R,5.05,5.03,2,0
1,803,8/14/04,36,13280,6.5,R,5.05,5.03,2,0
1,781,8/5/04,36,18200,6.5,R,5.05,5.03,3,1
1,711,8/12/04,36,19154.18,6.5,R,5.05,5.03,3,1
1,700,8/30/04,36,13901,6.49,R,4.99,5.02,3,0
1,791,6/2/03,36,6300,10,R,4.59,5,3,0
1,735,6/5/03,36,6300,10,R,4.59,5,3,0
1,757,6/16/03,36,6300,10,R,4.39,5,3,1
1,753,6/2/03,36,7800,10,R,4.59,5,3,0
1,795,6/4/03,36,8300,10,R,4.59,5,3,1
1,733,6/2/03,36,17158,10,R,4.59,5,3,1
1,788,9/6/04,36,4558.75,14.99,R,4.99,4.99,1,1
1,790,10/11/04,36,5000,10,R,4.99,4.99,3,0
1,732,10/13/04,36,5000,7.9,R,4.99,4.99,3,1
1,813,10/14/04,36,5000,10,R,4.99,4.99,3,0
1,809,11/1/04,36,5000,7.5,R,4.99,4.99,3,0
1,752,10/9/04,36,5042,6.5,R,4.99,4.99,3,1
1,752,9/29/04,36,5056.76,6.75,R,4.99,4.99,1,1
1,789,11/9/04,36,5065,10,R,4.99,4.99,3,0
1,761,11/11/04,36,5146.55,7,R,4.99,4.99,3,1
1,798,11/12/04,36,5404,10,R,4.99,4.99,3,0
1,736,9/13/04,36,5411.07,7.25,R,4.99,4.99,1,1
1,737,10/20/04,36,5438,7,R,4.99,4.99,3,0
1,736,9/8/04,36,5500,8.25,R,4.99,4.99,1,0
1,778,9/1/04,36,5709.79,9.5,R,4.99,4.99,1,1
1,795,9/27/04,36,5803.52,8.2,R,4.99,4.99,3,1
1,744,10/17/04,36,5850,6.56,R,4.99,4.99,1,1
1,778,10/10/04,36,5886.77,13,R,4.99,4.99,1,1
1,765,10/8/04,36,5907.03,8.73,R,4.99,4.99,3,1
1,783,9/7/04,36,5929.35,8.95,R,4.99,4.99,3,1
1,793,9/30/04,36,5963.07,8.75,R,4.99,4.99,3,1
1,761,9/7/04,36,5980,3.9,R,4.99,4.99,3,1
1,751,10/5/04,36,5991,8,R,4.99,4.99,1,1
1,796,10/1/03,36,6000,8.25,R,4.69,4.99,3,1
1,807,9/22/04,36,6000,7.2,R,4.99,4.99,1,0
1,751,9/6/04,36,6170,8,R,4.99,4.99,3,0
1,802,10/12/04,36,6200,9.9,R,4.99,4.99,1,1
1,743,11/5/04,36,6230,10,R,4.99,4.99,3,0
1,774,10/5/04,36,6289,4.25,R,4.99,4.99,1,1
1,793,8/20/03,36,6300,8.5,R,4.99,4.99,3,0
1,739,8/21/03,36,6300,6.8,R,4.99,4.99,1,0
1,778,8/22/03,36,6300,8.25,R,4.99,4.99,3,0
1,772,8/27/03,36,6300,8.9,R,4.99,4.99,1,1
1,787,8/27/03,36,6300,9.9,R,4.99,4.99,3,0
1,815,8/28/03,36,6300,8,R,4.99,4.99,1,0
1,790,8/29/03,36,6300,8.75,R,4.99,4.99,3,0
1,733,9/3/03,36,6300,10,R,4.99,4.99,1,0
1,733,9/3/03,36,6300,11,R,4.99,4.99,1,1
1,733,9/10/03,36,6300,8.95,R,4.99,4.99,3,0
1,811,9/10/03,36,6300,6.59,R,4.99,4.99,1,1
1,752,9/11/03,36,6300,7.95,R,4.99,4.99,3,0
1,773,9/11/03,36,6300,6.75,R,4.99,4.99,3,1
1,738,9/12/03,36,6300,10,R,4.79,4.99,3,1
1,734,9/12/03,36,6300,7.5,R,4.79,4.99,1,0
1,752,9/15/03,36,6300,8.95,R,4.79,4.99,1,0
1,751,9/27/04,36,6300,8.25,R,4.99,4.99,2,1
1,783,9/13/03,36,6311,7,R,4.79,4.99,1,1
1,748,8/28/03,36,6359,9.9,R,4.99,4.99,3,1
1,777,9/27/04,36,6392.61,21.75,R,4.99,4.99,3,1
1,781,8/31/04,36,6392.71,8,R,4.99,4.99,1,1
1,783,8/26/03,36,6400,7.25,R,4.99,4.99,3,1
1,739,9/8/04,36,6431,6.49,R,4.99,4.99,1,0
1,759,10/9/04,36,6497,10,R,4.99,4.99,3,0
1,754,9/12/03,36,6550,8.9,R,4.79,4.99,3,1
1,760,10/18/04,36,6603,10,R,4.99,4.99,3,1
1,747,10/8/04,36,6625.38,10.2,R,4.99,4.99,2,1
1,779,9/8/03,36,6634,9.9,R,4.99,4.99,3,0
1,753,9/11/03,36,6650,8,R,4.99,4.99,3,1
1,773,9/5/03,36,6670,8.9,R,4.99,4.99,1,1
1,744,9/27/04,36,6689,7.5,R,4.99,4.99,3,0
1,769,8/28/03,36,6700,9.99,R,4.99,4.99,1,1
1,786,9/13/03,36,6700,8,R,4.79,4.99,1,1
1,730,10/12/04,36,6748.88,17.95,R,4.99,4.99,2,1
1,744,10/18/04,36,6761.92,4.69,R,4.99,4.99,1,1
1,767,8/22/03,36,6800,10,R,4.99,4.99,3,1
1,753,9/5/03,36,6800,7,R,4.99,4.99,3,1
1,796,9/3/04,36,6800,14.95,R,4.99,4.99,1,1
1,781,8/25/03,36,6812,7.83,R,4.99,4.99,1,0
1,774,9/22/04,36,6816.68,12.89,R,4.99,4.99,3,1
1,748,9/8/04,36,6848.44,7.75,R,4.99,4.99,1,1
1,763,9/6/04,36,6856.82,12.75,R,4.99,4.99,1,1
1,781,8/31/04,36,6937.92,12,R,4.99,4.99,3,1
1,696,10/5/04,36,6952.76,8,R,4.99,4.99,3,1
1,765,9/15/03,36,7000,8.25,R,4.79,4.99,1,1
1,751,9/8/04,36,7000,8.99,R,4.99,4.99,3,1
1,767,10/22/04,36,7000,9.99,R,4.99,4.99,2,1
1,758,9/15/04,36,7053.83,6.99,R,4.99,4.99,1,1
1,754,9/15/03,36,7061,8.99,R,4.79,4.99,3,1
1,766,8/18/03,36,7067,7.5,R,4.99,4.99,3,0
1,760,9/2/03,36,7075,7.9,R,4.99,4.99,1,0
1,773,9/30/04,36,7077.74,8.6,R,4.99,4.99,1,1
1,744,9/12/03,36,7100,6.99,R,4.79,4.99,1,0
1,785,9/11/03,36,7105,7.9,R,4.99,4.99,1,1
1,785,9/11/03,36,7106,7.9,R,4.99,4.99,1,0
1,732,11/12/04,36,7109.47,7.75,R,4.99,4.99,3,1
1,736,8/18/03,36,7125,8.74,R,4.99,4.99,1,1
1,798,8/18/03,36,7131,6.99,R,4.99,4.99,1,0
1,763,8/15/03,36,7200,6.9,R,4.99,4.99,3,0
1,747,8/20/03,36,7200,13.99,R,4.99,4.99,3,1
1,801,8/26/03,36,7200,7.54,R,4.99,4.99,1,1
1,744,9/5/03,36,7200,8,R,4.99,4.99,1,1
1,696,10/16/04,36,7204.05,13.49,R,4.99,4.99,3,1
1,792,9/6/04,36,7243.1,6.75,R,4.99,4.99,1,1
1,781,10/8/04,36,7248,7.87,R,4.99,4.99,3,0
1,751,8/25/03,36,7300,7.5,R,4.99,4.99,3,0
1,760,8/26/03,36,7300,7,R,4.99,4.99,1,0
1,743,9/2/03,36,7300,10.1,R,4.99,4.99,3,0
1,745,9/2/03,36,7300,13,R,4.99,4.99,1,0
1,794,9/4/03,36,7300,9.99,R,4.99,4.99,3,0
1,756,10/17/04,36,7300,4,R,4.99,4.99,2,0
1,817,9/13/04,36,7326,6.5,R,4.99,4.99,3,0
1,825,9/18/04,36,7339.21,7.75,R,4.99,4.99,3,1
1,751,9/29/04,36,7375,9,R,4.99,4.99,2,0
1,780,8/26/03,36,7395,7,R,4.99,4.99,3,1
1,787,9/7/03,36,7397,7.2,R,4.99,4.99,3,0
1,758,8/31/03,36,7400,6.64,R,4.99,4.99,1,0
1,775,9/4/03,36,7400,8.95,R,4.99,4.99,3,1
1,808,9/16/04,36,7420,7.6,R,4.99,4.99,1,0
1,793,9/15/03,36,7446,10.54,R,4.79,4.99,1,0
1,751,10/4/04,36,7450.89,9.9,R,4.99,4.99,1,1
1,752,8/22/03,36,7493,10,R,4.99,4.99,3,1
1,758,8/29/03,36,7494,7.45,R,4.99,4.99,1,0
1,786,10/8/04,36,7500,10,R,4.99,4.99,3,1
1,729,10/22/04,36,7500,7.49,R,4.99,4.99,2,0
1,747,11/3/04,36,7500,13.25,R,4.99,4.99,2,0
1,751,6/3/03,36,7510,7,R,4.59,4.99,3,1
1,758,8/28/03,36,7530,7.75,R,4.99,4.99,3,1
1,755,11/12/04,36,7532,9,R,4.99,4.99,1,0
1,740,10/25/04,36,7562.83,10,R,4.99,4.99,3,1
1,752,9/12/03,36,7570,6.98,R,4.79,4.99,1,1
1,739,9/10/03,36,7581,6.7,R,4.99,4.99,1,0
1,687,9/27/04,36,7623.05,10.49,R,4.99,4.99,3,1
1,815,9/8/04,36,7676.24,4.13,R,4.99,4.99,1,1
1,794,8/27/03,36,7687,8.2,R,4.99,4.99,3,1
1,809,9/13/04,36,7690.32,7.99,R,4.99,4.99,1,1
1,832,10/7/04,36,7695,10,R,4.99,4.99,3,0
1,731,11/11/04,36,7710.22,8.24,R,4.99,4.99,1,1
1,769,9/2/03,36,7715,7.5,R,4.99,4.99,1,0
1,794,9/9/03,36,7724,7.49,R,4.99,4.99,3,0
1,760,11/2/04,36,7740,12,R,4.99,4.99,2,0
1,789,10/28/04,36,7762,9.25,R,4.99,4.99,2,0
1,802,8/17/03,36,7800,10.25,R,4.99,4.99,1,1
1,735,8/23/03,36,7800,10.74,R,4.99,4.99,1,0
1,761,8/25/03,36,7800,9.25,R,4.99,4.99,1,0
1,792,8/26/03,36,7800,7.95,R,4.99,4.99,1,0
1,809,9/10/03,36,7800,9,R,4.99,4.99,1,0
1,767,9/11/03,36,7800,6.75,R,4.99,4.99,1,0
1,805,11/7/04,36,7800,7.9,R,4.99,4.99,1,0
1,678,9/19/04,36,7835.2,7.5,R,4.99,4.99,3,1
1,754,11/11/04,36,7863,15,R,4.99,4.99,3,1
1,737,9/11/03,36,7910,8.79,R,4.99,4.99,1,1
1,731,10/18/04,36,7934,6.9,R,4.99,4.99,2,0
1,773,8/28/03,36,7944,10,R,4.99,4.99,3,1
1,744,9/24/04,36,7972,7,R,4.99,4.99,2,0
1,772,8/15/03,36,7980,7.49,R,4.99,4.99,1,1
1,751,10/19/04,36,7997.2,7.89,R,4.99,4.99,1,1
1,747,8/28/03,36,8000,7.25,R,4.99,4.99,1,0
1,750,9/2/04,36,8000,11,R,4.99,4.99,1,0
1,757,9/18/04,36,8000,8.9,R,4.99,4.99,3,1
1,766,9/20/04,36,8000,8.44,R,4.99,4.99,1,0
1,770,10/12/04,36,8000,7.5,R,4.99,4.99,1,0
1,700,11/2/04,36,8002.33,9,R,4.99,4.99,2,1
1,741,8/31/03,36,8073,9.05,R,4.99,4.99,1,1
1,749,8/21/03,36,8131,9.95,R,4.99,4.99,3,0
1,769,11/15/04,36,8198.99,6.9,R,5.05,4.99,1,1
1,740,9/30/04,36,8209,7.5,R,4.99,4.99,2,0
1,799,9/28/04,36,8216.39,9.1,R,4.99,4.99,1,1
1,772,9/1/04,36,8222.61,6.65,R,4.99,4.99,1,1
1,737,9/6/03,36,8241,8,R,4.99,4.99,1,0
1,750,8/18/03,36,8300,7.85,R,4.99,4.99,1,0
1,768,8/19/03,36,8300,6.75,R,4.99,4.99,1,0
1,742,9/5/03,36,8300,7.5,R,4.99,4.99,3,1
1,813,9/9/04,36,8368.55,7.4,R,4.99,4.99,3,1
1,806,9/17/04,36,8380.07,10.75,R,4.99,4.99,1,1
1,751,10/7/04,36,8400,10.99,R,4.99,4.99,2,0
1,816,10/29/04,36,8434,6.99,R,4.99,4.99,2,0
1,738,9/11/03,36,8436,10.9,R,4.99,4.99,1,1
1,774,8/29/03,36,8450,9.95,R,4.99,4.99,1,0
1,788,9/24/04,36,8450,10,R,4.99,4.99,3,1
1,739,9/8/03,36,8463,7.4,R,4.99,4.99,1,1
1,812,11/10/04,36,8470.75,11.5,R,4.99,4.99,2,1
1,759,8/20/03,36,8472,9.15,R,4.99,4.99,1,1
1,759,10/22/04,36,8500,6.9,R,4.99,4.99,2,0
1,771,11/1/04,36,8500,8.25,R,4.99,4.99,3,1
1,682,10/28/04,36,8520,11,R,4.99,4.99,2,0
1,751,9/3/03,36,8553,7.55,R,4.99,4.99,1,1
1,741,9/4/03,36,8570,17,R,4.99,4.99,1,1
1,764,9/28/04,36,8584,6.8,R,4.99,4.99,1,0
1,760,8/26/03,36,8600,8.75,R,4.99,4.99,1,1
1,752,8/30/03,36,8600,6.75,R,4.99,4.99,3,0
1,752,9/2/03,36,8600,6.75,R,4.99,4.99,3,1
1,795,9/11/03,36,8600,6.9,R,4.99,4.99,1,0
1,770,9/15/03,36,8600,9,R,4.79,4.99,1,1
1,737,10/12/04,36,8600,6.9,R,4.99,4.99,2,0
1,758,9/14/03,36,8660,9.59,R,4.79,4.99,1,0
1,734,8/17/03,36,8700,9.9,R,4.99,4.99,1,1
1,731,10/8/04,36,8706.99,6.64,R,4.99,4.99,2,1
1,819,9/9/04,36,8734.68,7,R,4.99,4.99,1,1
1,766,10/15/04,36,8768.31,7.9,R,4.99,4.99,2,1
1,785,9/15/03,36,8770,7.4,R,4.79,4.99,1,0
1,759,11/8/04,36,8799,9.9,R,4.99,4.99,2,0
1,790,9/15/03,36,8800,7.54,R,4.79,4.99,1,1
1,762,9/1/03,36,8821,8.64,R,4.99,4.99,1,1
1,791,10/8/04,36,8887.61,4.59,R,4.99,4.99,1,1
1,782,9/11/03,36,8888,8.45,R,4.99,4.99,3,1
1,730,9/29/04,36,8900,7.9,R,4.99,4.99,2,0
1,773,11/8/04,36,8919,7,R,4.99,4.99,3,0
1,757,11/8/04,36,8928.53,14,R,4.99,4.99,3,1
1,751,9/23/04,36,8930,7.85,R,4.99,4.99,2,0
1,797,8/28/03,36,9000,8.5,R,4.99,4.99,1,1
1,734,9/2/04,36,9064,4.59,R,4.99,4.99,3,0
1,794,8/26/03,36,9066,7.99,R,4.99,4.99,1,0
1,774,9/6/04,36,9066,7.54,R,4.99,4.99,1,0
1,773,10/10/04,36,9129.54,10.64,R,4.99,4.99,2,1
1,754,8/28/03,36,9188,7,R,4.99,4.99,1,1
1,759,10/5/04,36,9212,7.5,R,4.99,4.99,2,0
1,672,9/27/04,36,9249.61,12.99,R,4.99,4.99,1,1
1,759,8/19/03,36,9300,8.5,R,4.99,4.99,3,0
1,732,8/28/03,36,9300,19,R,4.99,4.99,3,0
1,735,9/2/03,36,9300,16,R,4.99,4.99,1,1
1,756,9/6/03,36,9300,10,R,4.99,4.99,3,0
1,795,9/15/03,36,9300,8,R,4.79,4.99,3,0
1,751,8/16/03,36,9350,7.5,R,4.99,4.99,3,0
1,772,8/19/03,36,9350,6.75,R,4.99,4.99,1,1
1,792,10/16/04,36,9351,8,R,4.99,4.99,1,1
1,783,8/20/03,36,9356,18,R,4.99,4.99,3,0
1,782,8/31/03,36,9400,8,R,4.99,4.99,1,1
1,751,11/9/04,36,9400,4.69,R,4.99,4.99,2,0
1,795,9/9/03,36,9414,6.95,R,4.99,4.99,3,1
1,732,9/13/03,36,9414,8.5,R,4.79,4.99,1,0
1,772,9/3/04,36,9484.19,8.75,R,4.99,4.99,1,1
1,787,8/28/03,36,9500,7.29,R,4.99,4.99,1,0
1,813,9/29/04,36,9570,9.75,R,4.99,4.99,1,0
1,758,8/28/03,36,9659,10.75,R,4.99,4.99,3,0
1,753,8/10/04,36,9734.22,10.25,R,5.05,4.99,1,1
1,743,10/14/04,36,9750,11,R,4.99,4.99,1,0
1,743,9/1/04,36,9767.26,7.75,R,4.99,4.99,3,1
1,783,9/15/03,36,9770,7.99,R,4.79,4.99,1,1
1,738,9/17/04,36,9792.17,13,R,4.99,4.99,3,1
1,773,8/18/03,36,9800,7.75,R,4.99,4.99,1,0
1,809,8/22/03,36,9800,8.75,R,4.99,4.99,3,0
1,770,8/23/03,36,9800,9.24,R,4.99,4.99,1,1
1,736,9/2/03,36,9800,11,R,4.99,4.99,3,1
1,730,9/11/04,36,9818.13,14,R,4.99,4.99,1,1
1,783,8/30/03,36,9839,7.67,R,4.99,4.99,3,0
1,748,10/4/04,36,9872,10,R,4.99,4.99,3,0
1,733,9/7/03,36,9895,10.99,R,4.99,4.99,1,1
1,731,8/22/03,36,9920,7.7,R,4.99,4.99,3,0
1,748,10/6/04,36,9940,10.5,R,4.99,4.99,2,1
